idade_cliente,regiao_cliente,tempo_cliente_meses,valor_pedido,quantidade_itens,valor_desconto,parcelas_pagamento,tempo_entrega_dias,atraso_entrega_dias,valor_frete,tentativas_entrega,contatos_atendimento,tempo_resolucao_dias,nps,numero_reclamacoes
63,Nordeste,14,139.73,4,39.35,4,2,2,55.53,3,0,4,6.9,3
20,Sul,1,458.95,2,9.51,10,6,4,28.23,3,0,10,2.4,3
46,Nordeste,111,507.06,5,42.82,6,6,1,40.99,1,4,5,4.8,7
52,Centro-Oeste,117,302.19,2,19.58,9,5,2,35.24,3,1,11,5.9,4
56,Norte,50,253.06,1,29.37,11,13,1,39.32,1,1,0,6.1,3
35,Sudeste,75,568.76,6,36.58,3,4,5,41.82,2,2,3,0.9,5
37,Sudeste,68,41.29,3,99.62,6,8,3,35.83,3,3,4,1.4,6
60,Sul,37,428.76,4,29.54,10,11,5,44.5,1,0,2,0.0,2
40,Sul,60,121.56,3,91.95,6,6,3,24.88,2,1,9,6.2,3
51,Sudeste,70,411.01,6,37.47,3,9,2,30.59,1,0,7,2.7,2
50,Centro-Oeste,28,616.17,2,23.0,8,4,2,52.94,3,0,7,5.3,6
67,Norte,81,509.48,2,10.42,1,11,1,46.92,2,1,3,7.0,2
65,Centro-Oeste,85,588.28,6,12.54,5,11,2,28.67,2,1,9,3.7,4
27,Sudeste,42,165.19,5,52.82,5,10,1,63.92,3,0,8,2.9,2
50,Sudeste,113,220.81,3,30.73,6,7,3,45.96,1,1,4,2.7,3
64,Norte,114,732.83,2,13.24,8,9,3,46.78,2,1,8,6.0,2
50,Norte,70,391.66,4,0.25,11,3,2,59.78,2,1,6,1.9,4
65,Sul,21,483.04,1,28.08,1,12,3,44.76,2,1,10,4.8,4
43,Sul,86,383.98,3,33.61,11,3,4,25.24,2,2,3,3.4,4
37,Centro-Oeste,74,288.93,2,20.8,9,9,2,62.02,1,1,3,2.0,4
32,Sudeste,105,390.01,2,84.53,8,9,2,35.9,2,1,6,5.7,4
54,Centro-Oeste,68,480.03,3,14.53,1,4,4,47.91,1,3,8,0.0,5
50,Sul,81,578.34,3,28.67,5,2,0,38.37,1,0,2,10.0,0
34,Nordeste,119,489.49,6,8.44,3,3,3,24.72,2,2,2,3.3,4
22,Norte,20,184.64,5,70.89,3,13,1,37.85,2,2,10,3.2,4
67,Sudeste,79,100.97,2,31.04,7,6,2,33.59,2,2,0,5.1,4
21,Sudeste,26,411.6,5,4.05,1,7,2,28.95,3,2,0,9.1,4
20,Nordeste,101,751.24,4,34.33,5,10,4,41.19,3,0,6,5.1,4
38,Sudeste,119,522.15,3,79.0,3,13,5,29.29,2,1,9,0.3,3
57,Sudeste,86,337.52,2,0.11,2,13,2,35.95,3,1,2,3.8,3
20,Nordeste,39,478.48,2,1.91,5,13,1,19.27,3,2,1,4.2,5
38,Sul,71,479.29,3,16.0,6,14,1,45.69,3,0,10,4.9,3
65,Norte,57,385.12,1,5.05,6,13,4,43.54,2,2,5,0.0,4
66,Sul,41,366.75,6,12.65,6,10,3,38.42,1,1,7,4.2,3
25,Nordeste,16,366.75,4,65.08,8,11,1,22.0,3,2,0,7.0,3
59,Centro-Oeste,106,348.26,4,4.9,6,14,1,31.64,1,2,1,6.8,3
53,Norte,23,557.8,4,0.31,9,8,5,44.25,1,3,10,0.0,5
46,Centro-Oeste,3,1120.9,4,57.57,5,13,2,40.75,2,4,0,4.9,6
56,Sudeste,119,448.04,3,21.23,8,11,1,28.03,3,2,8,4.4,5
51,Norte,5,109.66,6,5.88,6,14,1,33.27,3,0,11,4.2,3
39,Centro-Oeste,73,485.01,6,9.19,11,6,3,53.99,3,0,8,3.3,2
48,Centro-Oeste,15,117.97,2,28.35,5,2,3,28.02,2,2,11,1.8,6
45,Centro-Oeste,26,279.65,4,15.44,6,5,2,52.15,3,0,4,5.3,3
